ا;a;alif;isolated;
ب;b;ba;isolated;
ت;t;ta;isolated;
ث;ṯ|th;tha;isolated;
ج;j;djim;isolated;
ح;ḥ|H;ha;isolated;
خ;ḵ|kh;kha;isolated;
د;d;dal;isolated;
ذ;ḏ|dh;dhal;isolated;
ر;r;ra;isolated;
ز;z;za;isolated;
س;s;sin;isolated;
ش;š|sh;jin;isolated;
ص;ṣ|S;sad;isolated;
ض;ḍ|D;dad;isolated;
ط;ṭ|T;ta;isolated;
ظ;ẓ|Z;za;isolated;
ع;ʻ|3;3ayn;isolated;
غ;ḡ|gh;ghayn;isolated;
ف;f;fa;isolated;
ق;q;qaf;isolated;
ك;k;kaf;isolated;
ل;l;lam;isolated;
م;m;mim;isolated;
ن;n;nun;isolated;
ﻩ;h;ha;isolated;
و;w|u;waw;isolated;
ي;y|i;ya;isolated;
ا;a;alif;start;
بـ;b;ba;start;
تـ;t;ta;start;
ثـ;ṯ|th;tha;start;
جـ;j;djim;start;
حـ;ḥ|H;ha;start;
خـ;ḵ|kh;kha;start;
د;d;dal;start;
ذ;ḏ|dh;dhal;start;
ر;r;ra;start;
ز;z;za;start;
سـ;s;sin;start;
شـ;š|sh;jin;start;
صـ;ṣ|S;sad;start;
ضـ;ḍ|D;dad;start;
طـ;ṭ|T;ta;start;
ظـ;ẓ|Z;za;start;
عـ;ʻ|3;3ayn;start;
غـ;ḡ|gh;ghayn;start;
فـ;f;fa;start;
قـ;q;qaf;start;
كـ;k;kaf;start;
لـ;l;lam;start;
مـ;m;mim;start;
نـ;n;nun;start;
هـ‎;h;ha;start;
و;w|u;waw;start;
يـ;y|i;ya;start;
ـا;a;alif;middle;
ـبـ;b;ba;middle;
ـتـ;t;ta;middle;
ـثـ;ṯ|th;tha;middle;
ـجـ;j;djim;middle;
ـحـ;ḥ|H;ha;middle;
ـخـ;ḵ|kh;kha;middle;
ـد;d;dal;middle;
ـذ;ḏ|dh;dhal;middle;
ـر;r;ra;middle;
ـز;z;za;middle;
ـسـ;s;sin;middle;
ـشـ;š|sh;jin;middle;
ـصـ;ṣ|S;sad;middle;
ـضـ;ḍ|D;dad;middle;
ـطـ;ṭ|T;ta;middle;
ـظـ;ẓ|Z;za;middle;
ـعـ;ʻ|3;3ayn;middle;
ـغـ;ḡ|gh;ghayn;middle;
ـفـ;f;fa;middle;
ـقـ;q;qaf;middle;
ـكـ;k;kaf;middle;
ـلـ;l;lam;middle;
ـمـ;m;mim;middle;
ـنـ;n;nun;middle;
ـهـ‎‎;h;ha;middle;
ـو;w|u;waw;middle;
ـيـ;y|i;ya;middle;
ـا;a;alif;end;
ـب;b;ba;end;
ـت;t;ta;end;
ـث;ṯ|th;tha;end;
ـج;j;djim;end;
ـح;ḥ|H;ha;end;
ـخ;ḵ|kh;kha;end;
ـد;d;dal;end;
ـذ;ḏ|dh;dhal;end;
ـر;r;ra;end;
ـز;z;za;end;
ـس;s;sin;end;
ـش;š|sh;jin;end;
ـص;ṣ|S;sad;end;
ـض;ḍ|D;dad;end;
ـط;ṭ|T;ta;end;
ـظ;ẓ|Z;za;end;
ـع;ʻ|3;3ayn;end;
ـغ;ḡ|gh;ghayn;end;
ـف;f;fa;end;
ـق;q;qaf;end;
ـك;k;kaf;end;
ـل;l;lam;end;
ـم;m;mim;end;
ـن;n;nun;end;
ـه‎;h;ha;end;
ـو;w|u;waw;end;
ـي;y|i;ya;end;
